"id_alumno";"codigo_estudiante";"id_persona";"id_sede"
1;5455;3077;61
2;1636;4164;74
3;6731;7557;38
4;1643;1230;45
5;8734;8254;56
6;7181;2888;15
7;5170;6853;64
8;4782;9180;56
9;6516;5155;65
10;2592;2183;73
11;1611;1894;54
12;9744;5308;86
13;4754;9911;58
14;8681;1030;71
15;9938;5266;20
16;6636;4058;6
17;5762;8788;17
18;1595;4913;91
19;9586;7956;67
20;7119;648;43
21;8926;2168;14
22;5986;358;32
23;9316;8319;4
24;2706;6022;52
25;3106;744;34
26;4622;9346;69
27;3240;4560;44
28;8076;8943;28
29;9288;9716;24
30;7199;7970;80
31;9377;1;79
32;6015;9157;9
33;4421;7368;80
34;4548;8399;51
35;3406;7567;70
36;6166;3425;24
37;7270;6506;16
38;6219;5764;24
39;8781;7290;53
40;8925;988;90
41;5899;6139;40
42;4494;6796;1
43;2343;1749;90
44;1041;8002;40
45;1941;3511;80
46;2219;7524;49
47;9592;4593;62
48;8605;9430;83
49;1869;6770;48
50;6219;229;27
51;2969;8241;5
52;4481;8020;33
53;5415;3958;77
54;9651;6566;70
55;6313;2449;56
56;9250;2931;23
57;1143;6652;62
58;7488;3422;43
59;8333;7784;8
60;1972;3927;86
61;2937;9201;24
62;7963;5092;41
63;6297;2649;91
64;3519;5255;3
65;4511;9870;37
66;2729;4962;19
67;8666;9807;75
68;4694;8331;28
69;6684;3970;38
70;6671;1688;42
71;5832;1806;71
72;2368;7869;41
73;8799;1475;89
74;4271;3110;56
75;1852;5953;16
76;6411;9428;1
77;7672;7884;23
78;7062;8220;77
79;2572;5497;34
80;2560;3935;14
81;8915;2796;93
82;8542;6473;21
83;7885;9429;48
84;6668;7702;54
85;2918;4619;53
86;2897;3769;25
87;2614;194;60
88;7625;2640;25
89;9451;5140;44
90;8539;4989;23
91;5145;6307;45
92;8796;4437;53
93;1161;5937;72
94;2685;5138;12
95;7405;7871;75
96;6137;1172;87
97;7699;4659;87
98;5665;9559;5
99;1452;706;71
100;4512;3000;22
101;4558;2308;78
102;7495;5163;67
103;6655;8559;53
104;4815;8106;46
105;3728;4164;7
106;1350;5771;25
107;6945;4288;99
108;3960;3794;71
109;6946;3821;15
110;8289;5307;77
111;4922;9846;99
112;3984;6819;62
113;4606;788;43
114;2851;8570;3
115;2635;2397;31
116;9468;3238;94
117;8485;3775;28
118;6061;5538;64
119;6940;9129;99
120;6722;3875;94
121;2412;9861;36
122;6211;3587;19
123;5109;8215;96
124;5065;9115;66
125;9539;5769;37
126;2448;6577;9
127;6545;4711;18
128;8166;6651;32
129;8453;6279;65
130;1336;8402;81
131;8491;1168;91
132;3832;4107;23
133;2640;8751;72
134;5473;532;6
135;4950;2237;52
136;9939;5517;52
137;5672;7452;30
138;6434;6102;3
139;6426;8607;10
140;1816;4027;85
141;4093;5247;88
142;9383;2352;31
143;5479;9464;91
144;7184;7181;30
145;5461;7432;97
146;4559;2768;76
147;8873;270;38
148;2907;5431;10
149;2888;7401;69
150;2348;960;39
151;2933;3845;91
152;8810;7291;62
153;2334;2429;25
154;9284;7558;98
155;9072;1178;96
156;9232;8426;23
157;4547;884;18
158;2918;763;1
159;2741;7486;42
160;6551;7656;39
161;9232;9530;50
162;5365;6495;61
163;8446;3122;41
164;8859;737;17
165;5421;6124;32
166;2400;9018;58
167;3896;8045;100
168;8120;1940;72
169;1192;1337;19
170;4081;1477;18
171;7481;4585;92
172;4568;4724;64
173;1123;101;48
174;1948;7963;33
175;4464;5037;24
176;9186;5494;27
177;7108;8542;99
178;5523;1263;9
179;6519;6694;47
180;1110;7542;13
181;3167;5310;56
182;6760;9889;84
183;1544;1347;92
184;1540;4402;96
185;8662;2876;2
186;4100;7934;36
187;3977;3137;44
188;7525;3680;58
189;2360;3208;66
190;7250;5226;97
191;6069;5812;24
192;9844;9178;12
193;5889;1275;72
194;4853;8073;75
195;3350;4673;31
196;7432;9344;96
197;5450;9278;88
198;2914;1970;75
199;2162;1461;22
200;5788;9644;71
201;4368;9795;26
202;6870;7426;3
203;7293;2269;93
204;2547;5636;55
205;3376;3855;57
206;3499;9274;38
207;3911;886;47
208;9762;7504;16
209;7789;9948;54
210;3068;4434;16
211;6454;9532;71
212;4470;5983;16
213;3138;5125;60
214;6517;9322;81
215;4729;4321;10
216;3651;7424;32
217;9277;9444;49
218;6202;9173;91
219;8758;2954;20
220;9535;8412;15
221;3856;4312;19
222;4286;4659;85
223;2933;998;59
224;1087;7177;72
225;1010;405;17
226;2627;486;93
227;4964;8983;13
228;4090;8922;27
229;9705;5276;27
230;5356;983;4
231;1504;8381;46
232;1969;7415;79
233;6254;6086;61
234;4492;6054;81
235;3065;9338;41
236;2583;4916;45
237;9628;6700;20
238;5369;7884;43
239;2642;4601;78
240;2271;9430;7
241;7790;376;92
242;6614;7897;35
243;7982;9522;88
244;9720;997;18
245;6806;9026;62
246;1651;9812;59
247;6642;1833;52
248;4194;1537;43
249;7576;7461;2
250;4529;6970;83
251;6160;5034;98
252;7556;5617;73
253;5271;9099;73
254;9535;9884;90
255;2829;936;65
256;1592;6066;73
257;9222;5049;56
258;4600;5546;34
259;8088;5089;59
260;9167;4831;18
261;3909;5748;66
262;2179;7582;26
263;1621;4020;7
264;5968;9136;59
265;2923;3791;26
266;1299;5270;29
267;5398;7758;8
268;5152;5732;94
269;4587;4598;19
270;6593;831;84
271;8141;9385;3
272;7718;5096;87
273;8302;2561;65
274;3257;3566;17
275;6702;7373;25
276;2450;3540;5
277;7719;5205;75
278;8503;934;5
279;1745;9012;99
280;4160;1320;33
281;5362;4551;81
282;3927;3893;94
283;1427;9251;18
284;6595;8878;93
285;2039;2838;16
286;4058;1600;92
287;8403;1601;24
288;3324;5428;63
289;7889;5994;8
290;9088;3358;37
291;2085;6565;16
292;7980;5456;45
293;8970;7354;94
294;6092;7332;54
295;4065;1991;39
296;9334;4224;35
297;4395;4617;26
298;5060;4548;74
299;5659;2179;63
300;6324;2669;94
301;3197;7482;3
302;6861;931;6
303;5793;4148;96
304;1212;9099;65
305;2481;2766;82
306;5324;1021;74
307;6082;7387;3
308;3921;4078;16
309;9888;6167;33
310;2900;4940;94
311;8491;1307;97
312;4072;9273;27
313;9907;1520;57
314;8474;8290;60
315;6052;4131;57
316;4134;7518;72
317;8110;2852;4
318;1306;6147;49
319;9548;9395;55
320;5110;8640;86
321;6559;8015;97
322;9123;842;52
323;3686;8270;72
324;8336;5051;15
325;2387;2688;88
326;6018;6405;6
327;1921;3810;59
328;2522;1512;21
329;2090;4002;68
330;8839;6162;51
331;8214;3902;25
332;7996;2694;79
333;9992;988;57
334;5437;386;41
335;2993;2575;71
336;3130;7405;74
337;3878;763;98
338;5321;4627;51
339;3790;9270;59
340;8495;1512;87
341;7917;4104;18
342;2306;6458;69
343;8721;6271;44
344;7482;1763;75
345;3982;3354;16
346;4684;8040;58
347;4305;5350;6
348;9809;6524;7
349;8446;4147;18
350;5784;5730;76
351;4061;9651;97
352;5235;6483;62
353;6229;4084;96
354;2058;9424;30
355;2630;1083;7
356;5778;4901;19
357;6376;2787;85
358;9027;8699;89
359;8849;1130;44
360;3467;6954;5
361;2871;2500;41
362;8346;864;14
363;2950;8242;50
364;1132;9207;18
365;5464;4439;62
366;8201;1194;99
367;1618;9981;53
368;7422;8040;92
369;6146;5750;26
370;8799;7838;41
371;5793;7825;26
372;7661;3209;72
373;3413;5996;72
374;1432;5425;14
375;2989;5125;87
376;4349;5963;95
377;6497;5211;62
378;3489;19;81
379;4292;1816;92
380;2195;8565;12
381;3235;780;12
382;1833;1301;23
383;2271;3409;17
384;5748;6006;73
385;5759;7635;51
386;9462;7938;76
387;5249;7497;41
388;2883;4844;37
389;7348;8505;68
390;9848;3858;67
391;3146;7026;12
392;9399;5970;55
393;9671;2102;80
394;2714;3754;6
395;5090;6128;53
396;8528;2261;4
397;7983;2607;44
398;1295;4610;22
399;9741;3778;65
400;5079;594;12
401;6410;7084;47
402;5129;1448;95
403;2596;124;95
404;3062;7458;79
405;6316;1536;56
406;7995;8687;5
407;1407;9977;10
408;1233;3284;36
409;6609;3744;85
410;3486;1857;93
411;4184;2678;84
412;6561;5378;70
413;2488;3150;9
414;5202;7068;4
415;1387;3996;3
416;9560;7786;97
417;1862;5755;49
418;3288;5229;18
419;2972;5942;80
420;8110;6412;62
421;9916;4257;20
422;3458;9329;31
423;3605;1078;7
424;3959;1029;47
425;3792;2742;94
426;5423;1912;51
427;4280;5784;28
428;9732;6543;26
429;9749;3281;83
430;6880;6098;88
431;6401;7153;33
432;5013;1305;57
433;7643;2473;74
434;1728;861;82
435;1109;1223;24
436;1535;5977;43
437;9766;8205;17
438;6391;1942;45
439;7863;6631;38
440;8198;2857;73
441;1251;275;43
442;2999;6673;40
443;7720;877;98
444;2643;5414;45
