"idAsistencia";"id_sede_clase";"id_alumno"
1;9627;13523
2;14665;14695
3;12785;15133
4;9331;1932
5;7235;14329
6;8951;9287
7;3545;11656
8;3003;9289
9;12385;1538
10;9491;3872
11;3145;9378
12;958;13142
13;9154;11684
14;15442;15796
15;10039;11953
16;12149;4421
17;1177;641
18;4015;14282
19;12988;7439
20;7108;1984
21;5084;9153
22;8337;12632
23;5308;10534
24;5360;11776
25;10644;423
26;5494;752
27;323;6733
28;4536;1503
29;11633;11019
30;8779;7884
31;7098;688
32;13974;7696
33;1164;12858
34;13252;4981
35;3445;4063
36;10545;14009
37;8932;13235
38;5326;5975
39;9509;7198
40;7622;540
41;2607;14610
42;6341;6549
43;14011;12521
44;14843;14765
45;2316;3380
46;11057;12032
47;2437;8929
48;9486;3628
49;9042;13629
50;1361;8575
51;13728;2837
52;13063;14496
53;3287;9326
54;5358;12980
55;11064;14956
56;13870;9611
57;786;12958
58;11173;15903
59;5836;11766
60;7920;4871
61;2251;694
62;9522;14055
63;5567;4596
64;4689;8207
65;11062;2305
66;7766;13570
67;7023;14858
68;10979;5593
69;2422;13339
70;10586;13761
71;13858;10415
72;5553;13851
73;4973;10770
74;260;11226
75;11003;14030
76;8111;14683
77;14047;9376
78;11105;4366
79;1717;8723
80;469;14054
81;1913;5582
82;1334;5416
83;9897;1867
84;810;9435
85;9163;10187
86;3714;12935
87;8683;12477
88;730;5670
89;2585;8427
90;12497;5424
91;596;15509
92;1035;5515
93;6416;12935
94;6792;12065
95;10454;12210
96;10178;12933
97;11091;14048
98;12360;14514
99;7769;7372
100;194;9045
101;11297;5746
102;4650;14671
103;6356;143
104;14439;14838
105;2712;10241
106;2281;12424
107;15354;362
108;12854;7906
109;11450;15338
110;1001;3751
111;5711;3945
112;10177;4350
113;13038;13770
114;11472;8738
115;562;9659
116;10302;12529
117;9856;3386
118;12106;11122
119;13024;10575
120;1577;4796
121;2232;4641
122;5421;13335
123;7226;9426
124;9311;5225
125;11308;12883
126;10569;5125
127;83;2911
128;2992;13081
129;14625;14708
130;1296;8428
131;7797;2898
132;4478;9729
133;6805;10620
134;15238;6544
135;4516;3644
136;2646;14897
137;4770;9821
138;6778;1517
139;7943;8662
140;2336;11308
141;2036;11255
142;3969;1534
143;10309;4402
144;6901;12601
145;12287;5557
146;14477;3525
147;10411;1053
148;2400;8538
149;11959;2934
150;7325;9071
151;13712;15458
152;2563;6088
153;8130;6032
154;3917;15930
155;9051;12132
156;8759;538
157;11348;9391
158;9789;5026
159;8969;360
160;10436;88
161;11789;11882
162;31;13549
163;10239;9020
164;8463;11820
165;6798;8653
166;4190;9282
167;9410;13633
168;12043;12978
169;13479;2886
170;14763;199
171;14475;11212
172;5453;4596
173;833;10669
174;14052;11568
175;6331;5046
176;15392;1687
177;4137;8044
178;559;2866
179;11308;9616
180;8992;595
181;9120;8709
182;13118;15938
183;13227;14615
184;10246;3982
185;2516;9050
186;2340;14461
187;12371;12591
188;9955;12028
189;5210;5951
190;8144;2003
191;3787;14813
192;10374;1682
193;488;14676
194;2723;8670
195;7875;4571
196;8060;3737
197;9652;11031
198;1474;13239
199;4037;10591
200;2562;9952
201;14773;13807
202;7355;14222
203;11994;222
204;12827;7632
205;4078;1606
206;9929;2885
207;14419;5507
208;7;9017
209;3893;12821
210;14906;7066
211;1467;2347
212;603;1532
213;9902;10222
214;4233;2940
215;9585;14423
216;2063;4442
217;2542;3502
218;2925;15643
219;7320;933
220;13336;7442
221;12339;9748
222;495;4460
223;8393;3876
224;4618;14702
225;3318;4800
226;4217;6930
227;3669;15390
228;3350;8242
229;2137;417
230;1778;3850
231;11351;10667
232;12753;15810
233;406;6349
234;11619;14167
235;3215;13281
236;5588;2244
237;14576;15881
238;12576;11465
239;9115;2794
240;6682;6991
241;6515;8132
242;12373;9544
243;3368;12809
244;2538;5034
245;9372;8017
246;13607;828
247;8167;13402
248;15378;4710
249;1496;65
250;4489;6642
251;9696;3508
252;13886;2088
253;4697;8215
254;3952;15767
255;11639;7642
256;5874;5302
257;9841;1391
258;3729;1326
259;5995;611
260;7607;49
261;6312;11151
262;11104;12059
263;10161;45
264;3454;14330
265;5073;10293
266;6876;13411
267;15248;2446
268;10658;8076
269;2105;8561
270;6299;11392
271;10756;1122
272;8092;6942
273;2572;5147
274;9010;1233
275;14037;2468
276;14042;9460
277;14051;8662
278;551;12308
279;466;9428
280;14961;15122
281;12875;14856
282;3976;2282
283;5639;9876
284;15354;11959
285;2121;8065
286;11750;10323
287;11230;3697
288;5965;5183
289;11995;14334
290;12813;6267
291;6825;6732
292;4949;13443
293;5091;3875
294;8299;4703
295;8334;9803
296;85;15892
297;3689;9445
298;7313;7884
299;14891;8656
300;4220;52
301;13517;7486
302;1362;1498
303;9932;9562
304;5326;2556
305;377;576
306;2010;13115
307;7273;10931
308;6396;7793
309;5530;7536
310;13775;2534
311;6546;14150
312;12956;982
313;9984;14658
314;5985;9640
315;1972;4135
316;484;4593
317;1408;6062
318;7928;2560
319;4034;3592
320;10548;252
321;7176;2376
322;501;5536
323;11969;3409
324;10992;9708
325;7587;3598
326;10465;4632
327;14313;2997
328;13401;14842
329;14574;13021
330;10028;5308
331;7652;10503
332;7753;815
333;12497;6986
334;9876;5849
335;1504;4953
336;6356;5718
337;9469;13500
338;6927;184
339;1586;4834
340;11809;4199
341;9631;8541
342;150;7510
343;4583;8916
344;5039;15520
345;6701;10923
346;3123;3257
347;5160;8652
348;1033;268
349;1981;15314
350;6438;2447
351;9688;6039
352;6355;6569
353;14209;13338
354;3855;477
355;7273;5500
356;14744;6530
357;3103;12116
358;1683;15579
359;14661;1439
360;7606;5339
361;5585;13089
362;3502;4935
363;8271;14646
364;1044;6447
365;6213;9503
366;12689;10380
367;6148;2562
368;13338;3964
369;8315;11386
370;8198;9323
371;14223;2439
372;2014;7068
373;14070;5887
374;7655;2772
375;13277;1244
376;14588;10251
377;9608;15724
378;14255;4711
379;4666;1657
380;4713;514
381;7309;9480
382;6358;8003
383;11094;7702
384;5088;15559
385;9779;1315
386;5267;3619
387;14300;4454
388;11334;15135
389;14465;358
390;15225;1078
391;9485;8532
392;9773;8433
393;8110;15396
394;6406;3078
395;3668;7200
396;15198;9521
397;14216;10876
398;11658;14769
399;7183;11310
400;15448;14662
401;10255;11155
402;7206;11143
403;11803;5334
404;8113;11454
405;8520;1380
406;13294;13410
407;9550;8117
408;14689;7520
409;2982;4826
410;5588;5309
411;7976;10576
412;7030;1149
413;12738;13700
414;12767;14574
415;15163;1801
416;13156;7507
417;8074;8319
418;12335;14139
419;11034;1237
420;1288;4992
421;11012;7460
422;15096;10297
423;7836;14388
424;13233;2315
425;7920;12017
426;7830;5263
427;3792;12078
428;3250;10014
429;3050;5754
430;7306;5817
431;320;3246
432;3059;5384
433;4953;309
434;7836;823
435;11654;11934
436;3706;15650
437;5082;6874
438;12004;9806
439;2067;9957
440;6697;4826
441;14301;4918
442;1204;7932
443;9213;4118
444;10149;2770
445;14481;6478
446;2360;14057
447;369;4911
448;5952;10609
449;4297;2405
450;15412;11912
451;5738;5918
452;867;6465
453;13498;3682
454;2645;345
455;14790;11388
456;7404;11380
457;10509;15719
458;13124;14368
459;2366;6861
460;4410;12555
461;4362;7783
462;11643;6154
463;9468;12107
464;5975;9219
465;4072;2788
466;4646;13037
467;4996;14618
468;13096;9366
469;2764;454
470;4711;9006
471;1356;14901
472;7957;6460
473;6275;386
474;11300;4478
475;9887;12149
476;1884;10147
477;10105;13491
478;11926;10054
479;5530;1680
480;7749;12857
481;1903;3187
482;9408;2311
483;1905;7638
484;11575;7631
485;15118;12018
486;9079;7390
487;11883;3612
488;14525;13134
489;3221;9859
490;12870;2274
491;1869;15664
492;8867;2376
493;2639;8128
494;8662;12744
495;14100;3068
496;1123;6905
497;10246;815
498;13764;8720
499;3963;8603
500;9824;6141
501;10855;4720
502;5714;2421
503;6673;14984
504;5810;6513
505;13913;4905
506;2989;2928
507;7192;321
508;9215;364
509;4930;1973
510;11074;13703
511;1441;6029
512;624;7785
513;15117;10379
514;11353;5851
515;2947;2835
516;9461;3876
517;8490;529
518;9255;13127
519;6895;7084
520;5728;386
521;10021;3613
522;4979;10762
523;6918;10632
524;3111;15731
525;4995;5275
526;11470;11630
527;4453;326
528;5642;2255
529;6278;13517
530;13396;9256
531;8680;12161
532;5814;9431
533;1753;13856
534;6743;3476
535;14684;13600
536;12937;13489
537;6635;8489
538;4015;2510
539;9506;5064
540;2446;9697
541;8031;7324
542;10872;15002
543;10988;741
544;6849;14885
545;806;5011
546;342;13647
547;6204;8040
548;12008;10934
549;11310;7372
550;1428;7848
551;9604;6266
552;254;8917
553;14072;2847
554;1850;3338
555;11014;14495
556;1218;14535
557;9970;2357
558;8465;15922
559;5915;7799
560;11865;14429
561;7800;7433
562;4626;15586
563;12312;12265
564;7273;12845
565;14858;2234
566;10066;2723
567;8600;3300
568;2547;13195
569;7163;15850
570;7865;1325
571;6134;3894
572;11100;5674
573;14335;9840
574;15052;12302
575;9930;10938
576;1697;8789
577;3450;15079
578;12594;5113
579;11134;4436
580;15233;5466
581;7378;9579
582;4921;11356
583;5964;9303
584;10818;13668
585;4584;3113
586;4871;1627
587;6055;13598
588;13984;15496
589;10591;2571
590;1281;160
591;13270;6628
592;14469;13577
593;8722;10382
594;3759;8676
595;15189;5549
596;8001;7459
597;5740;12074
598;15282;753
599;471;219
600;4117;7937
601;11143;1668
602;10419;6813
603;193;308
604;4577;4509
605;7536;5116
606;11005;7232
607;353;105
608;9806;11823
609;6896;827
610;13628;13270
611;15418;9116
612;9755;10042
613;3897;12751
614;13292;1836
615;4706;2026
616;8203;12047
617;554;11967
618;8533;15830
619;10839;6422
620;191;7919
621;13786;12842
622;980;11797
623;11432;15647
624;11933;3413
625;5333;4285
626;14043;3288
627;1745;840
628;8956;4645
629;10521;12771
630;9437;2771
631;3879;7735
632;13471;9420
633;13711;14132
634;12880;13084
635;14328;10774
636;13971;3803
637;8926;6153
638;5914;12423
639;9517;11565
640;4419;14654
641;7483;2543
642;6914;628
643;14614;15901
644;8314;12439
645;10339;14639
646;11368;520
647;8930;6238
648;14431;8860
649;4094;4343
650;11078;9404
651;6762;7659
652;10835;13923
653;11864;11931
654;869;9461
655;3051;15556
656;11423;7611
657;12097;6070
658;10126;2642
659;1870;11117
660;10649;6183
661;11234;3738
662;13792;4788
663;2186;1579
664;15199;15645
665;12309;14897
666;11717;2931
667;14189;2570
668;5156;2964
669;10;194
670;10532;2733
671;3959;5545
672;15079;13912
673;2085;5589
674;12215;5525
675;6420;3550
676;13088;1813
677;11325;6569
678;6591;15158
679;10095;474
680;8226;8212
681;6191;2912
682;6162;3188
683;11201;8225
684;4809;6459
685;13291;15624
686;7248;8496
687;3710;4748
688;13141;5998
689;11754;8635
690;21;11336
691;13309;4370
692;7601;13396
693;11026;1743
694;1195;10922
695;7726;9079
696;13824;1088
697;10685;3769
698;12191;1248
699;2327;14134
700;6777;5978
701;2294;6433
702;4000;1147
703;3578;11855
704;11543;12832
705;5408;9446
706;8632;11275
707;3840;14720
708;12103;8455
709;5834;6779
710;10782;9871
711;14341;10488
712;11673;8467
713;5524;11903
714;7401;7517
715;8777;803
716;9104;6697
717;10564;12696
718;7031;14713
719;6855;11695
720;5977;4863
721;8612;12409
722;7007;14726
723;15047;10485
724;3381;1932
725;1754;7083
726;8873;7968
727;2613;9176
728;4305;11427
729;3118;15778
730;9664;9849
731;1685;14388
732;12624;5530
733;7011;10058
734;276;14240
735;5677;5666
736;4711;4498
737;13437;4366
738;4909;786
739;9195;3556
740;13191;15801
741;10735;2874
742;11062;15026
743;4813;1260
744;4818;12824
745;9319;12366
746;275;13515
747;2617;686
748;11907;11595
749;10872;1544
750;5111;15281
751;10975;3769
752;8330;10283
753;6501;12892
754;15402;207
755;5286;2316
756;8870;601
757;13249;6605
758;3001;9374
759;12478;301
760;4828;4600
761;6872;4708
762;2495;7610
763;9328;7611
764;7168;8998
765;14906;11570
766;2578;9469
767;4071;12334
768;4818;4651
769;13627;6039
770;3862;13818
771;14674;3676
772;13493;11183
773;3927;4539
774;2450;12902
775;5709;13832
776;10296;8734
777;111;10646
778;192;9418
779;7653;7053
780;2861;15267
781;730;330
782;5704;10943
783;14975;15083
784;6194;13993
785;15192;2413
786;6726;10054
787;616;5840
788;11127;2450
789;293;2925
790;10445;14430
791;2905;13912
792;10728;13
793;12846;13913
794;3084;5230
795;2775;9726
796;10834;2945
797;7;10339
798;1158;14561
799;12951;5375
800;1323;13637
801;14398;8048
802;14430;13145
803;8538;387
804;6383;3420
805;3677;14339
806;3400;7730
807;15491;6842
808;2942;9225
809;3808;7109
810;4403;13635
811;4292;4935
812;13837;7422
813;798;14609
814;1342;9927
815;2920;14819
816;1705;4474
817;680;14699
818;11115;14253
819;12657;12622
820;2423;1636
821;7941;1954
822;13059;2582
823;11890;15218
824;2428;3810
825;14372;11049
826;14231;11040
827;1722;12975
828;5446;10498
829;697;3808
830;10469;13122
831;4548;7149
832;14508;15135
833;8108;3109
834;2510;10834
835;3929;6657
836;4274;12294
837;9360;1183
838;4057;14396
839;2977;21
840;13902;10846
841;597;14971
842;14523;14451
843;12520;7542
844;10278;4564
845;11291;15675
846;1879;13374
847;2047;7508
848;11034;6865
849;5588;9778
850;15387;11276
851;8364;12695
852;4826;1057
853;9216;1074
854;10585;13936
855;11572;9675
856;2990;1482
857;2919;12314
858;10421;14165
859;14470;12147
860;13192;13452
861;11431;5752
862;5225;3173
863;4775;1656
864;2549;12608
865;10371;174
866;10276;4751
867;9471;2495
868;11166;639
869;12736;13021
870;7780;15313
871;14658;6452
872;977;8758
873;14860;14615
874;14252;12577
875;9982;15330
876;1044;5299
877;2004;4356
878;6625;15451
879;3750;10870
880;7650;10073
881;14631;8202
882;11284;12390
883;3540;5569
884;13421;9222
885;11227;8347
886;5442;15192
887;5678;10688
888;9040;6033
889;14061;9485
890;4795;2149
891;10647;11615
892;8394;1826
893;5146;11055
894;11417;1399
